label,precision,recall,f1,support
SUPPORTED,1.0,0.15,0.2608695652173913,20
UNDER_SPECIFIED,0.47619047619047616,1.0,0.6451612903225806,20
CONTRADICTED,0.9333333333333333,0.7,0.8,20
macro_avg,0.8031746031746031,0.6166666666666667,0.5686769518466573,60
micro_avg,0.6166666666666667,0.6166666666666667,0.6166666666666667,60
